Student_ID,Study_Hours,Attendance,Previous_Marks,Assignments,Internal_Marks,Final_Result
115,1,81,85,94,84,Pass
116,6,44,30,76,62,Fail
117,8,46,30,48,75,Fail
118,8,74,80,81,87,Pass
119,9,74,90,56,38,Fail
120,5,47,57,77,82,Fail
121,3,70,34,59,91,Pass
122,1,73,69,46,66,Pass
123,9,53,44,43,87,Fail
124,5,82,47,86,72,Pass
125,1,94,67,56,43,Fail
126,7,85,66,63,62,Pass
127,4,57,66,60,84,Fail
128,3,83,57,95,90,Pass
129,8,99,40,73,57,Pass
130,6,96,80,40,78,Pass
131,4,47,65,49,93,Fail
132,7,59,68,79,93,Fail
133,3,77,99,58,33,Fail
134,9,62,86,84,39,Fail
135,8,43,48,76,72,Fail
136,8,48,31,41,63,Fail
137,3,60,46,48,50,Pass
138,2,54,36,55,82,Fail
139,3,60,79,94,61,Pass
140,7,74,32,50,68,Pass
141,2,56,98,40,70,Fail
142,3,50,95,46,64,Fail
143,3,89,68,81,31,Fail
144,1,69,39,81,49,Fail
145,1,52,79,97,52,Fail
146,2,90,71,39,38,Fail
147,5,52,39,59,30,Fail
148,5,74,77,35,73,Pass
149,5,61,87,87,69,Pass
150,9,47,87,80,79,Fail
151,1,69,40,39,35,Fail
152,6,47,94,92,84,Fail
153,7,70,52,43,39,Fail
154,3,70,70,50,46,Fail
155,8,84,94,31,42,Fail
156,9,91,42,76,88,Pass
157,3,93,80,71,53,Pass
158,2,98,93,34,34,Fail
159,7,82,82,54,76,Pass
160,4,54,44,94,38,Fail
161,9,42,96,45,40,Fail
162,2,95,64,61,91,Pass
163,8,48,66,54,34,Fail
164,9,71,87,98,78,Pass
165,3,91,93,52,88,Pass
166,6,49,56,91,54,Fail
167,3,78,83,61,45,Fail
168,7,44,88,40,38,Fail
169,9,92,68,90,70,Pass
170,8,93,36,62,35,Fail
171,5,65,74,76,58,Pass
172,8,68,78,80,61,Pass
173,6,52,91,79,45,Fail
174,1,79,49,41,45,Fail
175,6,50,80,54,33,Fail
176,4,88,55,65,41,Fail
177,1,67,40,87,54,Pass
178,3,58,33,67,35,Fail
179,7,84,78,80,42,Fail
180,9,56,72,81,66,Fail
181,9,54,82,44,58,Fail
182,1,58,48,73,32,Fail
183,9,80,31,66,90,Pass
184,3,98,44,46,90,Pass
185,8,43,33,59,44,Fail
186,1,68,86,81,78,Pass
187,9,93,80,37,88,Pass
188,8,98,73,77,39,Fail
189,5,66,98,91,98,Pass
190,5,96,50,51,81,Pass
191,6,64,32,51,88,Pass
192,7,89,90,71,65,Pass
193,9,46,71,64,99,Fail
194,3,91,56,58,95,Pass
195,5,45,75,38,40,Fail
196,9,54,33,46,85,Fail
197,1,44,88,68,60,Fail
198,9,85,44,48,91,Pass
199,5,81,79,60,45,Fail
200,3,62,63,76,71,Pass
201,2,59,94,85,58,Fail
202,3,80,81,79,86,Pass
203,4,45,39,39,46,Fail
204,1,53,71,75,63,Fail
205,3,54,42,59,94,Fail
206,1,49,86,70,68,Fail
207,5,75,71,57,59,Pass
208,9,43,81,34,51,Fail
209,4,99,75,66,48,Fail
210,6,98,79,74,66,Pass
211,4,50,48,41,92,Fail
212,8,44,77,69,87,Fail
213,7,64,31,94,48,Fail
214,1,86,88,41,79,Pass
215,2,65,90,30,50,Pass
216,2,87,62,42,85,Pass
217,9,76,89,68,76,Pass
218,5,86,76,73,67,Pass
219,3,80,76,66,92,Pass
220,2,87,83,47,73,Pass
221,4,98,58,71,86,Pass
222,3,60,92,43,94,Pass
223,5,93,69,82,44,Fail
224,5,54,78,51,95,Fail
225,4,65,94,67,34,Fail
226,1,53,95,75,78,Fail
227,6,73,77,78,31,Fail
228,6,84,32,65,70,Pass
229,6,69,82,75,63,Pass
230,6,95,66,46,58,Pass
231,8,67,78,90,53,Pass
232,7,78,34,64,66,Pass
233,3,47,86,37,82,Fail
234,6,97,95,74,37,Fail
235,1,63,50,61,69,Pass
236,2,55,49,44,86,Fail
237,9,66,89,90,74,Pass
238,3,54,38,73,81,Fail
239,1,97,76,66,33,Fail
240,6,98,78,61,87,Pass
241,6,79,62,33,86,Pass
242,6,99,94,93,85,Pass
243,1,73,46,89,65,Pass
244,9,65,32,75,35,Fail
245,4,56,91,39,42,Fail
246,9,46,95,42,79,Fail
247,4,52,82,77,81,Fail
248,8,61,33,37,39,Fail
249,6,47,97,41,85,Fail
250,5,97,32,84,97,Pass
251,5,49,56,49,83,Fail
252,9,88,30,58,40,Fail
253,3,88,30,66,48,Fail
254,1,77,45,73,51,Pass
255,1,54,36,31,30,Fail
256,6,77,75,79,68,Pass
257,3,92,64,62,49,Fail
258,5,81,69,79,35,Fail
259,6,43,95,93,34,Fail
260,3,63,82,92,39,Fail
261,6,68,63,98,48,Fail
262,3,60,64,98,70,Pass
263,5,59,59,82,43,Fail
264,9,85,32,74,87,Pass
265,4,75,81,60,93,Pass
266,3,86,88,70,79,Pass
267,8,88,83,32,71,Pass
268,3,90,99,69,94,Pass
269,5,70,33,44,64,Pass
270,6,91,76,45,34,Fail
271,8,51,45,92,52,Fail
272,5,45,99,44,72,Fail
273,5,64,62,75,36,Fail
274,2,53,84,33,42,Fail
275,3,82,47,81,70,Pass
276,5,49,87,35,50,Fail
277,5,68,80,42,77,Pass
278,8,41,51,69,50,Fail
279,4,94,93,70,33,Fail
280,5,57,66,95,37,Fail
281,1,93,49,49,47,Fail
282,2,72,62,65,72,Pass
283,5,80,94,99,46,Fail
284,4,53,68,40,79,Fail
285,2,88,51,40,41,Fail
286,7,55,48,81,42,Fail
287,5,64,89,66,67,Pass
288,3,66,99,67,76,Pass
289,1,74,39,70,79,Pass
290,6,97,82,76,47,Fail
291,2,51,91,40,61,Fail
292,3,85,99,40,38,Fail
293,7,46,79,95,47,Fail
294,7,41,34,56,45,Fail
295,3,80,30,94,83,Pass
296,1,55,47,34,34,Fail
297,4,82,83,93,57,Pass
298,1,66,38,73,72,Pass
299,6,79,51,66,95,Pass
300,8,77,30,77,88,Pass
301,2,54,36,65,68,Fail
302,9,43,83,89,35,Fail
303,7,82,77,64,62,Pass
304,6,83,97,33,62,Pass
305,6,43,63,49,90,Fail
306,7,81,55,49,93,Pass
307,4,67,57,66,92,Pass
308,9,77,38,82,78,Pass
309,7,94,64,72,92,Pass
310,9,50,92,74,42,Fail
311,7,65,49,46,78,Pass
312,5,42,97,52,42,Fail
313,6,83,33,68,69,Pass
314,9,52,75,78,31,Fail
315,9,53,34,61,43,Fail
316,1,73,77,87,50,Pass
317,4,57,53,53,70,Fail
318,7,89,97,77,30,Fail
319,3,99,93,62,47,Fail
320,7,86,67,70,92,Pass
321,9,49,63,75,73,Fail
322,5,91,70,43,76,Pass
323,2,76,37,44,62,Pass
324,8,91,65,97,61,Pass
325,5,94,57,59,77,Pass
326,2,86,74,77,97,Pass
327,5,51,34,78,52,Fail
328,2,49,41,98,39,Fail
329,2,50,61,74,83,Fail
330,4,55,40,92,78,Fail
331,1,56,54,68,64,Fail
332,7,98,47,33,32,Fail
333,7,78,40,52,98,Pass
334,2,72,35,74,70,Pass
335,7,74,46,71,60,Pass
336,1,60,78,75,71,Pass
337,2,73,83,50,76,Pass
338,3,71,81,60,67,Pass
339,9,79,60,98,98,Pass
340,9,48,33,83,54,Fail
341,7,67,34,61,97,Pass
342,5,48,78,93,64,Fail
343,8,64,32,78,89,Pass
344,2,75,51,74,35,Fail
345,3,53,65,64,60,Fail
346,9,50,83,57,83,Fail
347,6,70,90,55,82,Pass
348,2,91,67,30,95,Pass
349,1,66,72,80,34,Fail
350,9,70,46,39,85,Pass
351,4,55,32,99,59,Fail
352,9,54,60,38,31,Fail
353,2,63,99,33,42,Fail
354,9,59,75,31,73,Fail
355,3,66,30,52,81,Pass
356,1,89,57,68,52,Pass
357,6,67,99,89,69,Pass
358,6,77,48,72,80,Pass
359,4,81,80,45,71,Pass
360,7,75,83,96,95,Pass
361,8,83,33,86,88,Pass
362,1,86,65,83,53,Pass
363,8,46,89,41,35,Fail
364,5,78,52,51,83,Pass
365,8,60,66,99,43,Fail
366,7,49,75,33,87,Fail
367,9,40,35,76,34,Fail
368,5,88,81,68,64,Pass
369,4,87,50,72,45,Fail
370,3,40,33,89,49,Fail
371,5,40,71,31,87,Fail
372,2,50,54,80,35,Fail
373,7,96,72,74,61,Pass
374,6,96,98,69,57,Pass
375,8,82,62,83,80,Pass
376,3,60,55,60,80,Pass
377,9,63,73,31,75,Pass
378,6,48,34,66,36,Fail
379,8,99,59,56,89,Pass
380,3,91,97,59,85,Pass
381,2,50,35,71,76,Fail
382,5,82,84,91,81,Pass
383,9,62,89,64,74,Pass
384,1,61,94,98,60,Pass
385,3,56,46,87,47,Fail
386,9,99,75,72,34,Fail
387,2,68,93,95,69,Pass
388,9,41,48,88,41,Fail
389,5,75,31,44,68,Pass
390,1,82,35,87,60,Pass
391,8,63,79,40,56,Pass
392,8,87,82,55,85,Pass
393,9,83,34,59,75,Pass
394,2,95,47,50,49,Fail
395,6,67,46,97,45,Fail
396,9,78,98,64,85,Pass
397,4,93,49,46,70,Pass
398,1,79,49,68,85,Pass
399,6,51,63,67,68,Fail
400,6,86,42,36,78,Pass
401,9,69,91,34,92,Pass
402,8,45,87,47,34,Fail
403,4,68,87,80,80,Pass
404,6,79,37,47,97,Pass
405,5,68,31,93,65,Pass
406,3,95,54,63,50,Pass
407,5,60,71,83,35,Fail
408,1,64,84,60,92,Pass
409,1,48,62,66,92,Fail
410,9,93,84,64,55,Pass
411,5,44,66,75,62,Fail
412,6,66,92,92,31,Fail
413,7,44,42,52,95,Fail
414,9,56,57,91,81,Fail
415,6,85,51,77,31,Fail
416,1,49,93,34,99,Fail
417,7,82,50,57,87,Pass
418,2,88,35,65,43,Fail
419,4,73,46,51,30,Fail
420,1,45,55,99,90,Fail
421,9,53,31,96,42,Fail
422,1,43,30,35,79,Fail
423,7,94,34,60,84,Pass
424,1,96,96,57,82,Pass
425,9,59,37,51,49,Fail
426,2,81,31,76,85,Pass
427,8,69,85,68,38,Fail
428,8,58,63,39,30,Fail
429,9,55,69,99,71,Fail
430,1,99,80,68,56,Pass
431,5,50,48,56,64,Fail
432,8,55,45,43,43,Fail
433,5,94,72,83,69,Pass
434,5,86,51,65,59,Pass
435,4,49,95,42,50,Fail
436,6,79,67,68,79,Pass
437,8,50,59,34,81,Fail
438,4,57,40,52,53,Fail
439,4,62,98,51,61,Pass
440,6,91,72,93,85,Pass
441,3,51,96,81,71,Fail
442,3,57,31,86,61,Fail
443,5,44,31,57,74,Fail
444,9,40,42,67,36,Fail
445,8,79,58,70,72,Pass
446,3,83,69,87,30,Fail
447,7,64,40,54,51,Pass
448,5,86,94,33,82,Pass
449,9,86,31,78,34,Fail
450,1,93,52,90,83,Pass
451,4,85,67,60,73,Pass
452,6,68,58,52,65,Pass
453,7,49,66,72,50,Fail
454,3,82,80,66,60,Pass
455,5,83,82,94,84,Pass
456,4,74,46,95,37,Fail
457,3,60,77,51,50,Pass
458,4,43,91,54,34,Fail
459,9,67,41,53,87,Pass
460,1,71,44,74,81,Pass
461,1,51,53,53,86,Fail
462,1,70,80,70,75,Pass
463,3,72,50,75,67,Pass
464,1,75,65,38,30,Fail
465,1,95,91,86,90,Pass
466,3,63,88,98,82,Pass
467,1,41,66,51,58,Fail
468,4,46,90,84,88,Fail
469,9,46,71,64,31,Fail
470,2,74,63,41,84,Pass
471,4,59,95,88,86,Fail
472,4,70,90,48,89,Pass
473,4,70,56,72,92,Pass
474,1,92,46,72,63,Pass
475,6,52,91,60,50,Fail
476,2,58,41,80,72,Fail
477,3,90,96,76,73,Pass
478,6,43,42,91,49,Fail
479,5,62,99,66,34,Fail
480,8,68,92,94,87,Pass
481,2,82,61,66,45,Fail
482,7,43,35,32,70,Fail
483,4,95,57,64,77,Pass
484,8,65,53,33,90,Pass
485,6,45,44,72,65,Fail
486,5,79,44,89,96,Pass
487,1,54,46,50,90,Fail
488,7,85,83,62,81,Pass
489,3,62,33,35,41,Fail
490,2,86,31,77,60,Pass
491,2,65,71,64,71,Pass
492,6,43,76,30,76,Fail
493,5,65,69,50,32,Fail
494,4,41,73,61,34,Fail
495,2,70,50,92,88,Pass
496,6,77,43,71,30,Fail
497,8,66,95,69,87,Pass
498,3,56,83,30,60,Fail
499,8,50,68,92,96,Fail
500,2,72,70,73,51,Pass
501,2,51,75,32,47,Fail
502,3,93,76,57,91,Pass
503,7,57,91,76,35,Fail
504,3,91,87,61,42,Fail
505,1,88,47,88,49,Fail
506,6,50,37,90,93,Fail
507,9,93,39,97,63,Pass
508,5,97,99,30,77,Pass
509,9,56,50,72,72,Fail
510,1,95,76,67,85,Pass
511,1,94,97,56,63,Pass
512,2,74,59,68,35,Fail
513,7,60,61,67,54,Pass
514,3,91,57,61,95,Pass
515,8,81,90,73,42,Fail
516,9,85,40,94,57,Pass
517,7,98,70,62,39,Fail
518,6,81,52,97,50,Pass
519,6,66,75,31,42,Fail
520,4,44,91,63,40,Fail
521,7,94,89,35,60,Pass
522,5,51,85,75,37,Fail
523,8,99,84,38,31,Fail
524,6,82,67,61,52,Pass
525,4,84,91,40,52,Pass
526,3,66,64,87,34,Fail
527,8,40,95,39,61,Fail
528,4,93,99,75,38,Fail
529,9,96,69,44,43,Fail
530,8,78,43,52,68,Pass
531,5,45,87,30,55,Fail
532,1,75,81,70,61,Pass
533,4,89,37,66,76,Pass
534,3,70,75,76,85,Pass
535,2,47,83,53,52,Fail
536,7,61,71,73,56,Pass
537,2,83,49,44,33,Fail
538,7,97,39,40,84,Pass
539,7,55,50,81,83,Fail
540,9,42,43,30,83,Fail
541,8,48,94,84,59,Fail
542,6,73,78,66,59,Pass
543,4,52,84,50,57,Fail
544,6,81,76,83,65,Pass
545,2,55,48,31,69,Fail
546,3,60,72,47,33,Fail
547,5,83,81,34,81,Pass
548,7,77,53,88,69,Pass
549,3,96,94,52,67,Pass
550,4,40,82,82,56,Fail
551,2,59,84,98,37,Fail
552,5,58,77,68,88,Fail
553,5,84,43,80,64,Pass
554,2,58,95,34,60,Fail
555,5,74,67,84,57,Pass
556,6,60,55,52,44,Fail
557,7,62,51,65,63,Pass
558,7,98,91,56,99,Pass
559,6,97,38,35,80,Pass
560,9,99,46,63,95,Pass
561,8,50,83,63,33,Fail
562,7,61,53,88,75,Pass
563,1,94,36,35,94,Pass
564,8,50,58,34,38,Fail
565,9,89,92,76,68,Pass
566,4,51,91,42,87,Fail
567,6,80,94,70,73,Pass
568,6,90,88,64,62,Pass
569,3,73,91,34,70,Pass
570,1,81,80,35,92,Pass
571,6,69,35,90,81,Pass
572,8,65,48,33,59,Pass
573,9,68,81,94,31,Fail
574,7,75,52,56,94,Pass
575,9,72,76,99,64,Pass
576,5,64,56,80,70,Pass
577,5,53,50,37,47,Fail
578,3,95,44,41,76,Pass
579,7,76,34,99,88,Pass
580,2,62,49,91,53,Pass
581,4,83,95,60,74,Pass
582,8,40,40,80,39,Fail
583,5,93,36,65,89,Pass
584,2,82,56,74,76,Pass
585,2,99,46,57,71,Pass
586,6,59,85,93,34,Fail
587,1,78,84,73,98,Pass
588,6,61,49,64,76,Pass
589,2,66,75,44,52,Pass
590,5,94,35,86,43,Fail
591,1,82,50,76,89,Pass
592,6,97,83,80,77,Pass
593,7,88,77,66,72,Pass
594,5,61,63,31,79,Pass
595,5,68,63,79,55,Pass
596,9,58,88,64,68,Fail
597,1,73,83,33,74,Pass
598,8,82,85,78,69,Pass
599,7,58,50,66,44,Fail
600,8,42,98,37,81,Fail
601,6,73,74,91,38,Fail
602,9,62,30,91,79,Pass
603,1,66,67,56,64,Pass
604,7,69,72,52,86,Pass
605,2,71,91,57,49,Fail
606,7,63,36,83,80,Pass
607,2,73,42,75,56,Pass
608,1,78,86,39,60,Pass
609,9,55,47,53,74,Fail
610,9,54,99,51,65,Fail
611,5,61,54,38,47,Fail
612,6,50,50,79,82,Fail
613,4,57,36,54,41,Fail
614,3,84,82,74,47,Fail
615,1,65,57,88,97,Pass
616,3,80,85,31,53,Pass
617,7,77,45,40,58,Pass
618,8,64,49,83,62,Pass
619,6,80,96,93,93,Pass
620,1,46,96,51,95,Fail
621,9,51,90,54,73,Fail
622,8,51,40,74,33,Fail
623,9,76,71,93,85,Pass
624,9,51,67,56,48,Fail
625,9,59,53,58,83,Fail
626,2,88,57,55,65,Pass
627,8,46,39,87,41,Fail
628,4,75,73,80,49,Fail
629,3,94,43,44,58,Pass
630,8,64,67,69,58,Pass
631,9,42,60,88,79,Fail
632,1,55,75,60,94,Fail
633,5,40,72,73,69,Fail
634,2,62,31,56,86,Pass
635,6,59,38,56,94,Fail
636,3,85,53,48,82,Pass
637,8,50,88,77,38,Fail
638,4,79,79,31,58,Pass
639,5,97,99,73,50,Pass
640,1,64,33,86,32,Fail
641,9,95,43,85,87,Pass
642,5,53,39,70,49,Fail
643,8,98,97,75,80,Pass
644,8,92,35,91,67,Pass
645,6,99,78,99,50,Pass
646,2,86,69,80,49,Fail
647,7,53,98,87,79,Fail
648,7,46,69,31,31,Fail
649,5,96,55,51,33,Fail
650,7,58,46,74,57,Fail
651,1,62,73,90,52,Pass
652,8,45,98,97,79,Fail
653,4,84,35,31,34,Fail
654,7,97,63,67,67,Pass
655,8,95,51,79,54,Pass
656,5,73,45,96,60,Pass
657,3,78,39,74,48,Fail
658,2,66,63,72,90,Pass
659,8,96,90,48,62,Pass
660,6,92,74,48,73,Pass
661,7,67,92,49,95,Pass
662,1,63,44,31,61,Pass
663,7,50,65,56,56,Fail
664,4,74,62,83,80,Pass
665,1,69,80,81,84,Pass
666,1,44,67,35,87,Fail
667,1,52,85,56,42,Fail
668,4,73,97,95,66,Pass
669,7,99,88,35,97,Pass
670,1,78,84,78,35,Fail
671,8,80,80,91,97,Pass
672,8,82,83,75,87,Pass
673,3,94,86,66,60,Pass
674,7,53,70,70,76,Fail
675,3,46,91,69,68,Fail
676,5,79,34,89,86,Pass
677,9,44,62,91,75,Fail
678,2,64,46,65,84,Pass
679,4,99,79,62,38,Fail
680,7,60,72,93,30,Fail
681,2,65,97,36,81,Pass
682,2,62,39,31,47,Fail
683,2,55,86,61,40,Fail
684,8,75,54,59,64,Pass
685,6,82,99,56,56,Pass
686,2,46,32,55,50,Fail
687,2,99,67,42,86,Pass
688,9,59,70,89,49,Fail
689,3,62,80,44,99,Pass
690,4,81,50,35,45,Fail
691,2,73,32,55,73,Pass
692,8,58,54,39,88,Fail
693,6,95,90,94,42,Fail
694,9,88,97,55,59,Pass
695,5,71,79,97,62,Pass
696,3,49,67,33,61,Fail
697,5,59,94,63,75,Fail
698,3,46,99,78,44,Fail
699,7,66,51,98,32,Fail
700,8,69,38,83,92,Pass
701,5,98,37,60,49,Fail
702,9,54,71,88,96,Fail
703,3,78,85,45,37,Fail
704,4,52,74,78,69,Fail
705,6,86,70,44,64,Pass
706,9,77,41,37,48,Fail
707,6,66,76,44,40,Fail
708,1,59,98,53,88,Fail
709,2,76,84,53,66,Pass
710,4,54,67,52,71,Fail
711,7,40,62,53,80,Fail
712,1,52,99,65,73,Fail
713,7,60,99,81,36,Fail
714,7,76,99,71,92,Pass
715,1,71,88,98,44,Fail
716,3,84,75,44,88,Pass
717,7,70,44,75,39,Fail
718,3,93,97,51,45,Fail
719,7,68,51,84,72,Pass
720,4,97,42,80,54,Pass
721,7,50,80,39,49,Fail
722,5,56,33,30,93,Fail
723,9,48,39,32,82,Fail
724,5,95,42,71,38,Fail
725,5,62,81,53,74,Pass
726,9,46,61,95,70,Fail
727,1,81,66,34,92,Pass
728,3,52,37,75,98,Fail
729,2,70,69,47,80,Pass
730,3,45,82,54,78,Fail
731,7,83,87,37,57,Pass
732,7,64,61,80,69,Pass
733,9,73,87,91,40,Fail
734,1,93,35,98,53,Pass
735,5,76,92,99,75,Pass
736,1,41,74,83,40,Fail
737,1,76,41,49,31,Fail
738,1,52,94,36,72,Fail
739,7,83,95,74,37,Fail
740,2,78,88,91,79,Pass
741,2,85,62,50,70,Pass
742,1,94,55,38,51,Pass
743,1,46,70,80,99,Fail
744,7,84,64,73,93,Pass
745,2,60,98,62,39,Fail
746,9,44,63,38,72,Fail
747,6,82,98,96,54,Pass
748,6,46,35,66,32,Fail
749,3,92,90,99,85,Pass
750,2,73,98,54,81,Pass
751,3,47,46,37,86,Fail
752,4,54,80,47,92,Fail
753,5,81,47,84,95,Pass
754,6,52,76,37,79,Fail
755,6,59,50,78,44,Fail
756,2,52,77,39,98,Fail
757,1,86,62,45,36,Fail
758,4,74,73,90,36,Fail
759,5,57,78,52,48,Fail
760,8,79,55,59,55,Pass
761,5,94,61,84,37,Fail
762,3,87,53,72,57,Pass
763,8,55,42,71,58,Fail
764,6,99,80,48,58,Pass
765,6,91,87,42,62,Pass
766,7,80,44,90,43,Fail
767,3,48,35,46,46,Fail
768,5,79,88,51,90,Pass
769,7,76,71,64,32,Fail
770,7,94,44,90,96,Pass
771,2,77,44,31,65,Pass
772,2,65,48,68,75,Pass
773,9,80,53,61,84,Pass
774,2,86,92,59,40,Fail
775,7,57,62,93,91,Fail
776,8,84,93,90,77,Pass
777,6,62,88,87,43,Fail
778,4,78,55,55,81,Pass
779,2,88,81,47,32,Fail
780,8,96,48,97,91,Pass
781,7,50,35,42,52,Fail
782,5,66,43,65,90,Pass
783,1,52,41,46,45,Fail
784,6,42,66,87,63,Fail
785,1,47,30,64,50,Fail
786,2,70,83,36,54,Pass
787,7,52,36,46,66,Fail
788,9,57,46,75,45,Fail
789,1,72,41,58,78,Pass
790,2,84,71,36,37,Fail
791,2,51,91,40,41,Fail
792,4,74,75,85,42,Fail
793,4,80,78,35,49,Fail
794,6,87,30,94,61,Pass
795,3,40,51,88,45,Fail
796,7,70,67,94,88,Pass
797,8,78,69,42,49,Fail
798,5,60,63,49,73,Pass
799,1,63,69,65,30,Fail
800,5,56,43,57,93,Fail
801,5,83,73,84,98,Pass
802,8,62,96,50,50,Pass
803,5,59,72,48,57,Fail
804,8,96,99,51,31,Fail
805,5,62,94,69,70,Pass
806,8,99,91,54,53,Pass
807,9,82,97,91,90,Pass
808,1,85,39,50,43,Fail
809,4,86,59,81,65,Pass
810,3,88,46,55,93,Pass
811,4,51,88,57,62,Fail
812,1,85,44,56,85,Pass
813,8,93,53,61,62,Pass
814,6,71,69,79,73,Pass
815,8,60,88,44,94,Pass
816,8,66,61,59,66,Pass
817,5,94,39,35,34,Fail
818,9,51,90,63,76,Fail
819,6,88,46,60,68,Pass
820,9,67,48,90,99,Pass
821,8,86,34,55,46,Fail
822,9,62,58,59,68,Pass
823,5,48,99,35,82,Fail
824,8,90,77,99,97,Pass
825,8,53,31,83,61,Fail
826,2,54,39,63,59,Fail
827,4,87,38,32,98,Pass
828,5,60,67,59,38,Fail
829,6,59,72,32,70,Fail
830,5,48,76,64,90,Fail
831,4,81,35,50,50,Pass
832,5,68,34,80,47,Fail
833,7,80,66,66,85,Pass
834,9,82,38,34,73,Pass
835,8,85,63,90,70,Pass
836,6,44,41,99,48,Fail
837,6,48,39,44,75,Fail
838,8,86,90,78,87,Pass
839,7,65,35,45,45,Fail
840,6,74,37,70,89,Pass
841,4,50,88,58,56,Fail
842,9,84,45,62,76,Pass
843,3,64,50,74,79,Pass
844,9,84,75,66,58,Pass
845,3,56,56,48,58,Fail
846,4,85,85,48,73,Pass
847,4,57,71,70,91,Fail
848,4,85,58,36,37,Fail
849,3,68,45,80,38,Fail
850,2,87,41,95,89,Pass
851,5,82,90,60,50,Pass
852,3,75,35,48,58,Pass
853,8,64,98,96,44,Fail
854,6,51,31,48,64,Fail
855,2,57,59,51,97,Fail
856,8,41,86,49,60,Fail
857,3,47,92,76,77,Fail
858,2,53,68,45,76,Fail
859,9,83,61,32,45,Fail
860,6,77,97,59,65,Pass
861,2,98,48,68,42,Fail
862,4,43,48,92,97,Fail
863,2,84,75,63,61,Pass
864,5,66,51,91,59,Pass
865,6,57,77,82,40,Fail
866,5,69,93,99,54,Pass
867,3,85,46,82,84,Pass
868,1,82,53,82,67,Pass
869,8,61,79,79,74,Pass
